name,class,VIP,ttest_p,utest_p,FC,fdr_adjust_ttest_p,bonferroni_adjust_utest_p,log2FoldChange,pvalue
NAGly 37:3;O2|NAGly 18:1;O(FA 19:1),NAGly,1.57754118,0.001211637,0.003729604,1.856489502,0.01576403,1,0.892577157,0.001211637
NAGly 17:3,NAGly,1.098389354,0.022975219,0.04009324,15.27134137,0.07532459,1,3.932754882,0.022975219
NATau 24:0,NATau,1.579803103,0.001198307,0.001243201,1.516248628,0.015756467,1,0.60050634,0.001198307
NATau 18:0,NATau,1.117805952,0.013093699,0.013986014,3.899012053,0.054687185,1,1.963108615,0.013093699
NATau 22:6,NATau,0.911574569,0.02321788,0.04009324,2.487063796,0.075918783,1,1.314443515,0.02321788
[5-(6-Aminopurin-9-yl)-4-hydroxy-2-(hydroxymethyl)oxolan-3-yl] dihydrogen phosphate,"Nucleosides, nucleotides, and analogues",1.642519584,4.42E-06,0.0003108,2.063922271,0.00083282,0.384149184,1.045388638,4.42E-06
Guanosine,"Nucleosides, nucleotides, and analogues",1.628176988,9.82E-05,0.0003108,3.912762226,0.004647132,0.384149184,1.968187442,9.82E-05
"2-(6-Aminopurin-9-yl)-5-(hydroxymethyl)oxolane-3,4-diol","Nucleosides, nucleotides, and analogues",1.61231803,0.0008754,0.005905206,1.59225475,0.013524937,1,0.671071176,0.0008754
Purine riboside,"Nucleosides, nucleotides, and analogues",1.495361017,0.001304946,0.0003108,1.96699674,0.016627969,0.384149184,0.975994566,0.001304946
Pseudouridine,"Nucleosides, nucleotides, and analogues",1.406715906,0.003396657,0.0003108,1.953693383,0.029655349,0.384149184,0.966204066,0.003396657
5-Methyluridine,"Nucleosides, nucleotides, and analogues",1.374438039,0.004806678,0.003729604,1.472908353,0.033565278,1,0.558667666,0.004806678
Uridine,"Nucleosides, nucleotides, and analogues",1.296480751,0.019831479,0.020512821,1.444678991,0.070599478,1,0.530748961,0.019831479
Arabinosylhypoxanthine,"Nucleosides, nucleotides, and analogues",1.187272707,0.045602073,0.013986014,5.104473868,0.117181211,1,2.351762266,0.045602073
Adenosine monophosphate,"Nucleosides, nucleotides, and analogues",1.150393776,0.047480691,0.013986014,1.676820459,0.120074684,1,0.745728225,0.047480691
